date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:53	125/125	---MCZ	200	added ('OK')	text/plain	etag:W/%22831393-1720734353;br%22	https://shypr.io/robots.txt		(from )
14:45:55	294114/294114	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jul%202024%2021:45:51%20GMT	https://shypr.io/	C:/My%20Web%20Sites/about%20company%20for%20chain%20connect/shypr.io/index.html	(from )
14:45:58	11163/11163	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Mar%202024%2021:05:46%20GMT	https://shypr.io/wp-content/uploads/worldlogo-1.png	C:/My%20Web%20Sites/about%20company%20for%20chain%20connect/shypr.io/wp-content/uploads/worldlogo-1.png	(from https://shypr.io/)
14:45:58	43139/43139	---MCZ	200	added ('OK')	text/css	date:Mon,%2001%20Jul%202024%2017:53:57%20GMT	https://shypr.io/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.7.2	C:/My%20Web%20Sites/about%20company%20for%20chain%20connect/shypr.io/wp-content/themes/astra/assets/css/minified/main.mine100.css	(from https://shypr.io/)
14:45:58	464/464	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Mar%202024%2019:32:59%20GMT	https://shypr.io/wp-content/plugins/autocomplete-location-field-contact-form-7//assents/css/style.css?ver=1.0.0	C:/My%20Web%20Sites/about%20company%20for%20chain%20connect/shypr.io/wp-content/plugins/autocomplete-location-field-contact-form-7/assents/css/style8a54.css	(from https://shypr.io/)
14:45:59	2894/2894	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Jun%202024%2017:53:27%20GMT	https://shypr.io/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.6	C:/My%20Web%20Sites/about%20company%20for%20chain%20connect/shypr.io/wp-content/plugins/contact-form-7/includes/css/stylesa950.css	(from https://shypr.io/)
14:45:59	882/882	---MCZ	200	added ('OK')	text/css	date:Mon,%2001%20Jul%202024%2017:53:57%20GMT	https://shypr.io/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7-main.min.css?ver=4.7.2	C:/My%20Web%20Sites/about%20company%20for%20chain%20connect/shypr.io/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7-main.mine100.css	(from https://shypr.io/)
14:45:59	695/695	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22cd4fcedf85f7b7796541a5b3da981ef6%22	https://shypr.io/comments/feed/	C:/My%20Web%20Sites/about%20company%20for%20chain%20connect/shypr.io/comments/feed/index.html	(from https://shypr.io/)
14:45:59	16504/16504	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Mar%202024%2019:32:59%20GMT	https://shypr.io/wp-content/plugins/date-time-picker-for-contact-form-7/assets/css/jquery.datetimepicker.min.css?ver=1.0.0	C:/My%20Web%20Sites/about%20company%20for%20chain%20connect/shypr.io/wp-content/plugins/date-time-picker-for-contact-form-7/assets/css/jquery.datetimepicker.min8a54.css	(from https://shypr.io/)
14:45:59	64013/64013	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22cd4fcedf85f7b7796541a5b3da981ef6%22	https://shypr.io/feed/	C:/My%20Web%20Sites/about%20company%20for%20chain%20connect/shypr.io/feed/index.html	(from https://shypr.io/)
14:45:59	242/242	---MCZ	200	added ('OK')	text/css	date:Sun,%2007%20Jul%202024%2017:54:07%20GMT	https://shypr.io/wp-content/plugins/ultimate-addons-for-contact-form-7/assets/css/uacf7-frontend.css?ver=6.5.5	C:/My%20Web%20Sites/about%20company%20for%20chain%20connect/shypr.io/wp-content/plugins/ultimate-addons-for-contact-form-7/assets/css/uacf7-frontendadc6.css	(from https://shypr.io/)
14:46:00	5797/5797	---MCZ	200	added ('OK')	text/css	date:Sun,%2007%20Jul%202024%2017:54:07%20GMT	https://shypr.io/wp-content/plugins/ultimate-addons-for-contact-form-7/assets/css/form-style.css?ver=6.5.5	C:/My%20Web%20Sites/about%20company%20for%20chain%20connect/shypr.io/wp-content/plugins/ultimate-addons-for-contact-form-7/assets/css/form-styleadc6.css	(from https://shypr.io/)
14:46:00	1110/1110	---MCZ	200	added ('OK')	text/css	date:Sun,%2007%20Jul%202024%2017:54:06%20GMT	https://shypr.io/wp-content/plugins/ultimate-addons-for-contact-form-7/addons/column/grid/columns.css?ver=6.5.5	C:/My%20Web%20Sites/about%20company%20for%20chain%20connect/shypr.io/wp-content/plugins/ultimate-addons-for-contact-form-7/addons/column/grid/columnsadc6.css	(from https://shypr.io/)
14:46:00	5461/5461	---MCZ	200	added ('OK')	text/css	date:Sun,%2007%20Jul%202024%2017:54:06%20GMT	https://shypr.io/wp-content/plugins/ultimate-addons-for-contact-form-7/addons/multistep/assets/css/multistep.css?ver=6.5.5	C:/My%20Web%20Sites/about%20company%20for%20chain%20connect/shypr.io/wp-content/plugins/ultimate-addons-for-contact-form-7/addons/multistep/assets/css/multistepadc6.css	(from https://shypr.io/)
14:46:04	146740/146740	---MCZ	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2017:53:03%20GMT	https://shypr.io/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.22.3	C:/My%20Web%20Sites/about%20company%20for%20chain%20connect/shypr.io/wp-content/plugins/elementor/assets/css/frontend-lite.mindcff.css	(from https://shypr.io/)
14:46:04	3829/3829	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Jul%202024%2018:04:31%20GMT	https://shypr.io/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=5.9.26	C:/My%20Web%20Sites/about%20company%20for%20chain%20connect/shypr.io/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.minde0e.css	(from https://shypr.io/)
